year,transect,level,replicate,organism,data_taken,pres_cover,pres_count,pres,both_taken
1982,1,5,1,Prasiola stipitata,yes,TRUE,FALSE,TRUE,both
1982,1,5,1,Ulva intestinalis,yes,TRUE,FALSE,TRUE,both
1982,1,6,1,Prasiola stipitata,yes,TRUE,FALSE,TRUE,both
1982,1,6,1,Ulva intestinalis,yes,TRUE,FALSE,TRUE,both
1982,1,7,1,Semibalanus balanoides,yes,TRUE,TRUE,TRUE,both
1982,1,8,1,Fucus vesiculosus,yes,TRUE,FALSE,TRUE,both
1982,1,8,1,Semibalanus balanoides,yes,TRUE,TRUE,TRUE,both
1982,1,9,1,Ascophyllum nodosum,yes,TRUE,FALSE,TRUE,both
1982,1,9,1,Chondrus crispus,yes,TRUE,FALSE,TRUE,both
1982,1,9,1,Mastocarpus stellatus,yes,TRUE,FALSE,TRUE,both
1982,1,9,1,Mytilus edulis,yes,TRUE,TRUE,TRUE,both
1982,1,9,1,Semibalanus balanoides,yes,TRUE,TRUE,TRUE,both
1982,1,9,1,Ulva intestinalis,yes,TRUE,FALSE,TRUE,both
1982,1,10,1,Mytilus edulis,yes,TRUE,TRUE,TRUE,both
1982,1,11,1,Chondrus crispus,yes,TRUE,FALSE,TRUE,both
1982,1,11,1,Cryptosula pallasiana,yes,TRUE,FALSE,TRUE,both
1982,1,11,1,Mytilus edulis,yes,TRUE,TRUE,TRUE,both
1982,1,11,1,Phymatolithon lenormandii,yes,TRUE,FALSE,TRUE,both
1982,1,11,1,Saccharina latissima,yes,TRUE,FALSE,TRUE,both
1982,1,12,1,Chondrus crispus,yes,TRUE,FALSE,TRUE,both
1982,1,12,1,Mytilus edulis,yes,TRUE,TRUE,TRUE,both
1982,1,12,1,Phymatolithon lenormandii,yes,TRUE,FALSE,TRUE,both
1982,1,13,1,Ascophyllum nodosum,yes,TRUE,FALSE,TRUE,both
1982,1,13,1,Chondrus crispus,yes,TRUE,FALSE,TRUE,both
1982,1,13,1,Cryptosula pallasiana,yes,TRUE,FALSE,TRUE,both
1982,1,13,1,Mastocarpus stellatus,yes,TRUE,FALSE,TRUE,both
1982,1,13,1,Mytilus edulis,yes,TRUE,TRUE,TRUE,both
1982,1,13,1,Phymatolithon lenormandii,yes,TRUE,FALSE,TRUE,both
1982,1,14,1,Chondrus crispus,yes,TRUE,FALSE,TRUE,both
1982,1,14,1,Mytilus edulis,yes,TRUE,TRUE,TRUE,both
1982,1,14,1,Phymatolithon lenormandii,yes,TRUE,FALSE,TRUE,both
1982,1,14,1,Saccharina latissima,yes,TRUE,FALSE,TRUE,both
1982,1,15,1,Chondrus crispus,yes,TRUE,FALSE,TRUE,both
1982,1,15,1,Cryptosula pallasiana,yes,TRUE,FALSE,TRUE,both
1982,1,15,1,Mytilus edulis,yes,TRUE,TRUE,TRUE,both
1982,1,15,1,Phymatolithon lenormandii,yes,TRUE,FALSE,TRUE,both
1982,1,15,1,Saccharina latissima,yes,TRUE,FALSE,TRUE,both
1982,2,3,1,Prasiola stipitata,yes,TRUE,FALSE,TRUE,both
1982,2,5,1,Semibalanus balanoides,yes,TRUE,TRUE,TRUE,both
1982,2,6,1,Ascophyllum nodosum,yes,TRUE,FALSE,TRUE,both
1982,2,6,1,Hildenbrandia rubra,yes,TRUE,FALSE,TRUE,both
1982,2,6,1,Semibalanus balanoides,yes,TRUE,TRUE,TRUE,both
1982,2,7,1,Chondrus crispus,yes,TRUE,FALSE,TRUE,both
1982,2,7,1,Fucus vesiculosus,yes,TRUE,FALSE,TRUE,both
1982,2,7,1,Hildenbrandia rubra,yes,TRUE,FALSE,TRUE,both
1982,2,7,1,Mastocarpus stellatus,yes,TRUE,FALSE,TRUE,both
1982,2,7,1,Semibalanus balanoides,yes,TRUE,TRUE,TRUE,both
1982,2,8,1,Ascophyllum nodosum,yes,TRUE,FALSE,TRUE,both
1982,2,8,1,Fucus vesiculosus,yes,TRUE,FALSE,TRUE,both
1982,2,8,1,Hildenbrandia rubra,yes,TRUE,FALSE,TRUE,both
1982,2,8,1,Mastocarpus stellatus,yes,TRUE,FALSE,TRUE,both
1982,2,8,1,Semibalanus balanoides,yes,TRUE,TRUE,TRUE,both
